,RMSD,TM-score,lddt,GDT-TS,clash,BARNABA-eSCORE,INF-ALL,f1,precision,recall,RASP-ENERGY,cgRNASP,3drnascore,RNA-BRiQ,DFIRE,ARES,LociPARSE,RNArank,RNA3DCNN,tb_mcq,PAMnet
Alphafold3,,,,,14.818880351262347,,,,,,-51434.5,-641.87,32.84,-153.57,-62163.25,5.99,-0.76,-0.577,2.4405413,9.89,2.99
3dRNA,,,,,25.705857564264644,,,,,,-29421.0,-408.13,29.82,274.28,-47037.74,7.17,-0.64,-0.725,23.506817,28.47,6.1
RNAJP,,,,,29.43485086342229,,,,,,-39208.55,-434.3,27.22,-31.625,-52582.520000000004,6.29,-0.67,-0.628,13.1295115,14.83,4.78
DeepFoldRNA,,,,,21.064092025865772,,,,,,-39336.55,-357.03,25.990000000000002,36.269999999999996,-45964.775,6.72,-0.625,-0.472,10.152314,13.879999999999999,4.425000000000001
SimRNA,,,,,53.04659498207885,,,,,,-37231.9,-465.12,33.97,794.61,-50435.15,7.37,-0.58,-0.363,13.482954,17.44,4.665
Vfold,,,,,23.21917058759164,,,,,,-28376.9,-385.225,34.629999999999995,331.81,-48709.365000000005,6.655,-0.675,-0.732,17.4055065,15.99,5.3
DRfold,,,,,65.25625744934446,,,,,,-26985.8,-292.03,34.78,1965.15,-48327.6,7.44,-0.62,-0.564,15.935958,25.61,4.46
RNAComposer,,,,,31.838411502909963,,,,,,-28274.3,-390.54,28.38,93.69,-47015.6,7.05,-0.67,-0.759,15.906804,18.52,6.234999999999999
NuFold,,,,,12.507817385866169,,,,,,-42250.0,-388.67,31.16,231.8,-50656.89,6.58,-0.67,-0.429,8.849291,11.54,5.38
trRosettaRNA,,,,,16.387959866220736,,,,,,-33765.7,-392.33,26.75,95.67,-40585.15,7.29,-0.6,-0.486,23.62412,19.65,7.145
RhoFold,,,,,10.475774770842428,,,,,,-20553.4,-346.79,41.18,612.48,-44764.49,8.24,-0.52,-0.626,32.182533,58.73,6.665
DRfold2,,,,,20.89009990917348,,,,,,-41576.2,-495.05,33.34,247.39,-54470.09,6.61,-0.68,-0.622,9.397347,18.42,4.65
RoseTTAFold2NA,,,,,34.337859861051,,,,,,-37590.899999999994,-364.005,29.085,223.16,-46576.825,7.255,-0.63,-0.4185,12.453713,13.100000000000001,7.22
FARFAR2,,,,,36.21981681931724,,,,,,-43642.0,-542.74,26.064999999999998,-76.48,-58782.41,6.58,-0.72,-0.552,11.012284,13.53,3.67
