,RMSD,TM-score,lddt,GDT-TS,clash,BARNABA-eSCORE,INF-ALL,f1,precision,recall,RASP-ENERGY,cgRNASP,3drnascore,RNA-BRiQ,DFIRE,ARES,LociPARSE,RNArank,RNA3DCNN,tb_mcq,PAMnet
Alphafold3,,,,,0.9207180118161988,,,,,,1.0,1.0,0.5490454246214613,1.0,1.0,1.0,0.0,0.4595959595959597,1.0,1.0,1.0
3dRNA,,,,,0.7219797627048093,,,,,,0.2871529835400941,0.3318659958838327,0.7478604344963793,0.7980620374565776,0.2990342059773565,0.47555555555555573,0.5,0.08585858585858593,0.2916992273923604,0.6195741195741196,0.264775413711584
RNAJP,,,,,0.6539081956643633,,,,,,0.6040960328485709,0.40667162131260015,0.9190256747860437,0.9424440228062226,0.5559975160000187,0.8666666666666667,0.3749999999999999,0.33080808080808083,0.6406101411157343,0.8988533988533989,0.5768321513002364
DeepFoldRNA,,,,,0.8067136918605756,,,,,,0.608240962919067,0.1857992225017151,1.0,0.9103987313094699,0.24930948507978,0.6755555555555557,0.5625000000000001,0.7247474747474748,0.7407109524544719,0.9183046683046683,0.6607565011820329
SimRNA,,,,,0.2228834407853283,,,,,,0.5400876264122716,0.49476903727418253,0.4746543778801845,0.5524750792931581,0.456481339877005,0.3866666666666667,0.7500000000000002,1.0,0.6287265220371909,0.8454135954135954,0.6040189125295508
Vfold,,,,,0.7673734294833037,,,,,,0.253342659425992,0.2663932083238053,0.4312047399605007,0.7709088506267936,0.3765027968171435,0.7044444444444444,0.3541666666666665,0.06818181818181823,0.49684051589591416,0.8751023751023751,0.45390070921985815
DRfold,,,,,0.0,,,,,,0.20829568894890393,0.0,0.4213298222514812,0.0,0.3588105532924585,0.3555555555555555,0.5833333333333334,0.49242424242424254,0.5462504046089153,0.6781326781326782,0.6524822695035462
RNAComposer,,,,,0.6100319732952799,,,,,,0.2500202389163598,0.2815858678252917,0.8426596445029626,0.8832974626189397,0.2980081656865061,0.5288888888888891,0.3749999999999999,0.0,0.547230634860274,0.8233005733005733,0.2328605200945627
NuFold,,,,,0.9629057190505335,,,,,,0.7025850763088102,0.2762405671163962,0.6596445029624753,0.8181118788702613,0.46675749950180967,0.7377777777777779,0.3749999999999999,0.8333333333333334,0.7845218381928336,0.9662162162162162,0.4349881796690307
trRosettaRNA,,,,,0.8920749725759813,,,,,,0.4278442153938816,0.28670249256803115,0.9499670836076367,0.8823629361123697,0.0,0.4222222222222223,0.6666666666666669,0.6893939393939394,0.2877552077321035,0.8001638001638002,0.01773049645390079
RhoFold,,,,,1.0,,,,,,0.0,0.15652869883375264,0.0,0.6384373584050749,0.19368433736056445,0.0,1.0,0.33585858585858586,0.0,0.0,0.13120567375886516
DRfold2,,,,,0.8098898616967092,,,,,,0.6807659053595887,0.5803224331122799,0.5161290322580643,0.8107536625887328,0.6434737071382557,0.7244444444444444,0.3333333333333332,0.34595959595959597,0.7660948274691368,0.8253480753480753,0.6075650118203308
RoseTTAFold2NA,,,,,0.5644053516240197,,,,,,0.5517128599693661,0.2057369083009376,0.7962475312705728,0.8221898127171122,0.27767389158452305,0.43777777777777793,0.5416666666666667,0.8598484848484849,0.6633321735477453,0.9342751842751843,0.0
FARFAR2,,,,,0.5300508358138698,,,,,,0.7476611908254563,0.7166418934369998,0.9950625411454908,0.9636148240447062,0.8433207743035764,0.7377777777777779,0.16666666666666682,0.5227272727272726,0.7117966144816051,0.9254709254709255,0.8392434988179669
