,rna,method,LociPARSE,RNArank,RNA3DCNN,ARES,tb_mcq,PAMnet,clash,3drnascore,RNA-BRiQ,RASP-ENERGY,DFIRE,cgRNASP
0,dataset3.AF3.ENSMUST00000082395.model_0.fixed.pdb,Alphafold3,0.8,0.837,4.4684825,5.78,7.51,3.57,24.65753424657534,35.67,-37.18,-38309.9,-56286.84,-640.4
1,dataset3.3dRNA.ENSMUST00000082395.test_01.pred1.min.fixed.pdb,3dRNA,0.67,0.848,17.459507,6.55,22.97,5.48,31.377899045020463,29.96,127.75,-24700.5,-43810.92,-358.6
2,dataset3.3dRNA.ENSMUST00000082395.test_01.pred3.min.fixed.pdb,3dRNA,0.71,0.833,17.812004,6.83,25.27,5.71,28.649386084583902,29.84,134.1,-23716.3,-42205.29,-371.64
3,dataset3.3dRNA.ENSMUST00000082395.test_01.pred2.min.fixed.pdb,3dRNA,0.68,0.876,16.446007,6.69,26.78,5.37,26.83037744429286,30.33,154.04,-24590.3,-43489.36,-370.62
4,dataset3.RNAJP.ENSMUST00000082395.em_predicted_ENSMUST00000082395-2.fixed.pdb,RNAJP,0.72,0.734,9.562081,6.05,10.55,4.57,30.809859154929576,26.97,-103.36,-35844.3,-47190.22,-381.47
5,dataset3.RNAJP.ENSMUST00000082395.em_predicted_ENSMUST00000082395-6.fixed.pdb,RNAJP,0.73,0.81,8.548953,5.81,9.56,4.78,30.809859154929576,27.4,-76.46,-36902.3,-49811.74,-389.47
6,dataset3.3dRNA.ENSMUST00000082395.test_01.pred4.min.fixed.pdb,3dRNA,0.66,0.789,18.168291,7.7,28.26,6.5,26.83037744429286,29.35,194.42,-27240.8,-40441.8,-362.69
7,dataset1.DeepFoldRNA.ENSMUST00000082395.model_2.refined_model.fixed.pdb,DeepFoldRNA,0.71,0.818,10.180019,6.63,14.05,3.85,33.90576838397182,27.07,98.3,-33139.9,-50484.06,-465.93
8,dataset3.RNAJP.ENSMUST00000082395.em_predicted_ENSMUST00000082395-7.fixed.pdb,RNAJP,0.75,0.827,9.922077,5.78,12.2,4.08,31.25,26.84,-88.22,-38847.5,-48570.76,-414.21
9,dataset1.SimRNA.ENSMUST00000082395.fixed.pdb,SimRNA,0.56,0.447,12.336173,9.200901,17.03,4.8,71.75295186194369,37.65,1204.95,-23868.9,-47023.49,-465.12
10,dataset3.RNAJP.ENSMUST00000082395.em_predicted_ENSMUST00000082395-1.fixed.pdb,RNAJP,0.73,0.81,9.7675495,5.79,12.0,4.42,29.489436619718308,26.38,-92.6,-38462.8,-47991.63,-389.08
11,dataset3.Vfold.ENSMUST00000082395.npk1_vfold.fixed.pdb,Vfold,0.76,0.907,9.436977,5.82,13.04,4.28,49.04632152588556,36.51,317.7,-27274.1,-48833.68,-457.0
12,dataset3.DRfold.ENSMUST00000082395.DPR.fixed.pdb,DRfold,0.81,0.918,6.611733,6.02,11.2,3.54,25.01136880400182,36.27,32.15,-37242.3,-55774.32,-609.35
13,dataset3.3dRNA.ENSMUST00000082395.test_01.pred5.min.fixed.pdb,3dRNA,0.64,0.828,17.843275,7.03,26.58,6.09,30.468394724874944,29.88,140.31,-23327.6,-40508.8,-347.21
14,dataset1.DeepFoldRNA.ENSMUST00000082395.model_3.refined_model.fixed.pdb,DeepFoldRNA,0.72,0.809,13.40803,6.77,17.42,3.92,45.79480405107882,28.04,299.27,-30936.5,-49046.87,-460.65
15,dataset3.RNAComposer.MUST00000082395.fixed.pdb,RNAComposer,0.6,0.443,13.067574,7.29,14.96,9.83,14.09731696225557,27.86,123.35,-14972.0,-26194.52,-173.86
16,dataset1.DeepFoldRNA.ENSMUST00000082395.model_4.refined_model.fixed.pdb,DeepFoldRNA,0.71,0.845,10.401422,6.56,14.9,3.44,37.86878027300749,27.55,148.14,-32942.0,-51484.36,-475.58
17,dataset3.RNAJP.ENSMUST00000082395.em_predicted_ENSMUST00000082395-3.fixed.pdb,RNAJP,0.77,0.741,6.87498,5.7,10.9,4.11,33.45070422535211,26.44,-76.53,-38863.3,-49152.94,-526.99
18,dataset1.DeepFoldRNA.ENSMUST00000082395.model_6.refined_model.fixed.pdb,DeepFoldRNA,0.68,0.824,11.758599,6.67,14.02,4.67,46.23513870541612,27.62,116.69,-30832.9,-49885.56,-460.3
