,RMSD,TM-score,lddt,GDT-TS,clash,BARNABA-eSCORE,INF-ALL,f1,precision,recall,RASP-ENERGY,cgRNASP,3drnascore,RNA-BRiQ,DFIRE,ARES,LociPARSE,RNArank,RNA3DCNN,tb_mcq,PAMnet
Alphafold3,,,,,0.9207180118161988,,,,,,1.0,1.0,0.5419103313840153,1.0,1.0,1.0,1.0,0.5404040404040402,1.0,1.0,1.0
3dRNA,,,,,0.6682466012503118,,,,,,0.2000284963942346,0.2872455979876515,0.7368421052631579,0.7354062830388159,0.21889554687391377,0.42666666666666664,0.45833333333333326,0.914141414141414,0.1864305207240038,0.6070843570843572,0.33333333333333315
SimRNA,,,,,0.2228834407853283,,,,,,0.5400876264122716,0.49476903727418253,0.4684860298895387,0.5524750792931581,0.456481339877005,0.3866666666666667,0.24999999999999978,0.0,0.6287265220371909,0.8454135954135954,0.6040189125295508
RNAJP,,,,,0.6465358835880486,,,,,,0.6180673615900988,0.46718499885662024,0.9070825211176089,0.9381560564869356,0.608244470087728,0.8933333333333332,0.6666666666666667,0.6616161616161615,0.6471129504080926,0.8986486486486487,0.6004728132387708
Vfold,,,,,0.7673734294833037,,,,,,0.253342659425992,0.2663932083238053,0.4256010396361276,0.7709088506267936,0.3765027968171435,0.7044444444444444,0.6458333333333335,0.9318181818181818,0.49684051589591416,0.8751023751023751,0.45390070921985815
DRfold,,,,,0.0,,,,,,0.20829568894890393,0.0,0.4158544509421701,0.0,0.3588105532924585,0.3555555555555555,0.41666666666666663,0.5075757575757575,0.5462504046089153,0.6781326781326782,0.6524822695035462
RNAComposer,,,,,0.6100319732952799,,,,,,0.2500202389163598,0.2815858678252917,0.8317089018843404,0.8832974626189397,0.2980081656865061,0.5288888888888891,0.6250000000000001,1.0,0.547230634860274,0.8233005733005733,0.2328605200945627
NuFold,,,,,0.9629057190505335,,,,,,0.7025850763088102,0.2762405671163962,0.6510721247563352,0.8181118788702613,0.46675749950180967,0.7377777777777779,0.6250000000000001,0.16666666666666663,0.7845218381928336,0.9662162162162162,0.4349881796690307
trRosettaRNA,,,,,0.8920749725759813,,,,,,0.4278442153938816,0.28670249256803115,0.9376218323586745,0.8823629361123697,0.0,0.4222222222222223,0.33333333333333315,0.31060606060606055,0.2877552077321035,0.8001638001638002,0.01773049645390079
DeepFoldRNA,,,,,0.8276138989902049,,,,,,0.6815851766938354,0.125171506974617,1.0,0.9125132155263556,0.28183018894156575,0.6888888888888889,0.3749999999999999,0.2500000000000001,0.7531168801987125,0.9297706797706797,0.6796690307328606
RhoFold,,,,,1.0,,,,,,0.0,0.15652869883375264,0.0,0.6384373584050749,0.19368433736056445,0.0,0.0,0.6641414141414141,0.0,0.0,0.13120567375886516
DRfold2,,,,,0.8098898616967092,,,,,,0.6807659053595887,0.5803224331122799,0.5094217024041583,0.8107536625887328,0.6434737071382557,0.7244444444444444,0.6666666666666667,0.654040404040404,0.7660948274691368,0.8253480753480753,0.6075650118203308
RoseTTAFold2NA,,,,,0.5644053516240197,,,,,,0.5517128599693661,0.2057369083009376,0.7858999350227419,0.8221898127171122,0.27767389158452305,0.43777777777777793,0.45833333333333326,0.14015151515151514,0.6633321735477453,0.9342751842751843,0.0
FARFAR2,,,,,0.5300508358138698,,,,,,0.7476611908254563,0.7166418934369998,0.9821312540610787,0.9636148240447062,0.8433207743035764,0.7377777777777779,0.8333333333333331,0.4772727272727274,0.7117966144816051,0.9254709254709255,0.8392434988179669
