,rna,method,LociPARSE,RNArank,RNA3DCNN,ARES,tb_mcq,PAMnet,clash,3drnascore,RNA-BRiQ,RASP-ENERGY,DFIRE,cgRNASP
0,dataset3.AF3.ENSMUST00000082395.model_0.fixed.pdb,Alphafold3,0.8,0.837,4.4684825,5.78,7.51,3.57,24.65753424657534,35.67,-37.18,-38309.9,-56286.84,-640.4
2,dataset3.3dRNA.ENSMUST00000082395.test_01.pred3.min.fixed.pdb,3dRNA,0.71,0.833,17.812004,6.83,25.27,5.71,28.649386084583902,29.84,134.1,-23716.3,-42205.29,-371.64
9,dataset1.SimRNA.ENSMUST00000082395.fixed.pdb,SimRNA,0.56,0.447,12.336173,9.200901,17.03,4.8,71.75295186194369,37.65,1204.95,-23868.9,-47023.49,-465.12
10,dataset3.RNAJP.ENSMUST00000082395.em_predicted_ENSMUST00000082395-1.fixed.pdb,RNAJP,0.73,0.81,9.7675495,5.79,12.0,4.42,29.489436619718308,26.38,-92.6,-38462.8,-47991.63,-389.08
11,dataset3.Vfold.ENSMUST00000082395.npk1_vfold.fixed.pdb,Vfold,0.76,0.907,9.436977,5.82,13.04,4.28,49.04632152588556,36.51,317.7,-27274.1,-48833.68,-457.0
12,dataset3.DRfold.ENSMUST00000082395.DPR.fixed.pdb,DRfold,0.81,0.918,6.611733,6.02,11.2,3.54,25.01136880400182,36.27,32.15,-37242.3,-55774.32,-609.35
15,dataset3.RNAComposer.MUST00000082395.fixed.pdb,RNAComposer,0.6,0.443,13.067574,7.29,14.96,9.83,14.09731696225557,27.86,123.35,-14972.0,-26194.52,-173.86
19,dataset3.NuFold.ENSMUST00000082395_rank_1.pdb,NuFold,0.65,0.557,10.247248,6.45,10.1,5.01,10.28101439342015,33.01,170.42,-33825.4,-43000.57,-369.35
20,dataset3.trRosettaRNA.ENSMUST00000082395.model_1.fixed.pdb,trRosettaRNA,0.71,0.909,16.539791,6.53,23.15,4.92,27.247956403269754,27.82,68.67,-28879.6,-47582.12,-473.91
26,dataset1.DeepFoldRNA.ENSMUST00000082395.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.72,0.843,9.783337,6.4,12.65,3.26,29.94275649493615,27.32,32.39,-31411.9,-50605.63,-460.54
27,dataset3.Rhofold.ENSMUST00000082395.relaxed_1000.fixed.pdb,RhoFold,0.71,0.872,17.371904,8.079504,40.23,4.85,17.280582082764894,42.14,179.4,-27417.7,-45136.2,-443.62
29,dataset3.DRfold2.ENSMUST00000082395.DPR.fixed.pdb,DRfold2,0.82,0.941,6.591882,5.92,12.66,4.37,20.89009990917348,36.04,12.02,-37368.4,-55666.89,-614.62
31,dataset3.DRfold2.ENSMUST00000083458.DPR.fixed.pdb,DRfold2,0.68,0.619,11.365468,7.9096446,19.56,5.16,31.61397670549085,33.67,247.39,-37359.4,-54470.09,-495.05
35,dataset3.Rhofold.ENSMUST00000083458.relaxed_1000.fixed.pdb,RhoFold,0.51,0.582,29.44341,11.0273552,63.31,5.54,7.913369429404415,39.66,781.47,-20553.4,-39655.56,-353.1
38,dataset3.DRfold.ENSMUST00000083458.DPR.fixed.pdb,DRfold,0.62,0.607,11.687431,8.6066589,21.96,4.08,71.63681799250313,34.74,1364.1,-30798.4,-48327.6,-406.09
40,dataset1.DeepFoldRNA.ENSMUST00000083458.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.61,0.567,11.711347,7.1,15.31,4.35,28.237192416296892,24.9,125.66,-36244.9,-47204.27,-382.7
41,dataset1.SimRNA.ENSMUST00000083458.fixed.pdb,SimRNA,0.62,0.287,12.153596,8.634676,19.97,5.29,51.16472545757072,33.55,871.88,-34395.2,-46059.37,-392.32
42,dataset3.RNAComposer.MUST00000083458.fixed.pdb,RNAComposer,0.61,0.564,15.906804,7.05,18.52,5.76,65.38942107455227,29.1,427.17,-24533.7,-48050.71,-413.54
44,dataset3.RoseTTAFold2NA.ENSMUST00000083458.model_00.fixed.pdb,RoseTTAFold2NA,0.55,0.479,12.95929,7.42,12.15,5.62,29.534109816971714,28.41,379.38,-41599.8,-46006.37,-375.69
49,dataset3.3dRNA.ENSMUST00000083458.test_01.pred3.min.fixed.pdb,3dRNA,0.54,0.462,26.716139,7.28,27.48,7.05,77.46772178259059,31.5,1068.39,-15271.2,-44636.54,-300.96
51,dataset3.NuFold.ENSMUST00000083458_rank_1.pdb,NuFold,0.61,0.424,13.879625,6.77,13.67,6.32,12.507817385866167,30.26,515.95,-36893.3,-42592.8,-376.33
54,dataset3.RNAJP.ENSMUST00000083458.em_predicted_ENSMUST00000083458-1.fixed.pdb,RNAJP,0.63,0.596,13.406586,6.4,16.67,4.3,29.838709677419356,27.51,-42.6,-35535.3,-54267.93,-455.47
58,dataset3.AF3.ENSMUST00000083458.model_0.fixed.pdb,Alphafold3,0.76,0.553,3.1500227,6.5539603,10.71,2.6,17.5,32.84,-115.72,-49461.6,-58791.12,-605.46
59,dataset3.trRosettaRNA.ENSMUST00000083458.model_1.fixed.pdb,trRosettaRNA,0.5,0.44,29.507174,8.36,21.62,9.41,8.319467554076539,27.04,178.91,-21829.0,-30147.12,-272.69
65,dataset3.Rhofold.ENSMUST00000104106.relaxed_1000.fixed.pdb,RhoFold,0.55,0.64,26.24098,8.59,53.93,8.02,6.875477463712758,36.6,547.66,-22618.8,-38188.83,-291.38
71,dataset3.RNAComposer.MUST00000104106.fixed.pdb,RNAComposer,0.61,0.813,8.121326,6.2,13.75,7.11,11.077158135981666,28.67,3.52,-43599.8,-50112.38,-408.57
72,dataset3.trRosettaRNA.ENSMUST00000104106.model_1.fixed.pdb,trRosettaRNA,0.55,0.389,26.01599,7.58,18.89,8.1,6.104540251812286,26.75,157.51,-30002.9,-34349.16,-305.97
74,dataset3.3dRNA.ENSMUST00000104106.test_01.pred1.min.fixed.pdb,3dRNA,0.59,0.463,28.544384,7.76,33.12,7.35,21.390374331550802,28.94,408.24,-22266.3,-39639.0,-335.42
76,dataset3.AF3.ENSMUST00000104106.model_0.fixed.pdb,Alphafold3,0.74,0.586,4.114191,6.71,9.82,3.31,5.178365937859609,31.9,-185.81,-57276.2,-63646.83,-704.63
78,dataset3.NuFold.ENSMUST00000104106_rank_1.pdb,NuFold,0.57,0.41,12.585154,7.56,11.54,7.07,7.484168105929764,29.79,321.33,-34126.6,-38346.0,-274.9
80,dataset1.DeepFoldRNA.ENSMUST00000104106.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.6,0.245,3.9766295,6.88,12.25,5.56,0.0,25.79,46.97,-33752.8,-26000.34,-127.19
81,dataset1.SimRNA.ENSMUST00000104106.fixed.pdb,SimRNA,0.58,0.288,13.482954,7.53,19.29,3.98,34.719572682182374,32.11,730.85,-37048.2,-45408.98,-387.0
82,dataset3.RNAJP.ENSMUST00000104106.em_predicted_ENSMUST00000104106-1.fixed.pdb,RNAJP,0.7,0.507,9.128784,6.54,11.54,4.6,24.399260628465804,25.74,-91.6,-45208.7,-53514.57,-424.27
83,dataset3.DRfold2.ENSMUST00000104106.DPR.fixed.pdb,DRfold2,0.65,0.406,9.998133,7.02,18.06,5.57,13.353681800839375,31.35,424.87,-40121.4,-43869.78,-355.08
84,dataset3.RoseTTAFold2NA.ENSMUST00000104106.model_00.fixed.pdb,RoseTTAFold2NA,0.62,0.319,8.841332,7.8,10.63,9.36,4.196871423120946,27.48,75.98,-32055.2,-27564.41,-115.01
88,dataset3.DRfold.ENSMUST00000104106.DPR.fixed.pdb,DRfold,0.47,0.407,29.804956,8.43,35.26,6.84,115.7372039724981,34.78,3774.33,-9341.67,-31673.2,-83.32
95,dataset3.AF3.ENSMUST00000196796.model_0.fixed.pdb,Alphafold3,0.8,0.636,-0.5352511,5.96,10.92,2.61,8.867667121418826,33.35,-211.63,-51441.5,-55828.75,-553.81
96,dataset1.DeepFoldRNA.ENSMUST00000196796.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.65,0.704,9.624161,6.77,15.55,4.41,25.47211242863417,24.72,-1.91,-37187.4,-44744.46,-335.82
97,dataset3.RoseTTAFold2NA.ENSMUST00000196796.model_00.fixed.pdb,RoseTTAFold2NA,0.68,0.486,7.932467,6.91,12.96,6.88,102.80797101449275,29.72,540.23,-36409.3,-42043.17,-352.32
98,dataset3.Rhofold.ENSMUST00000196796.relaxed_1000.fixed.pdb,RhoFold,0.6,0.752,24.184208,8.29,66.97,7.93,8.616780045351474,39.71,491.16,-21775.6,-33942.06,-306.8
99,dataset3.Vfold.ENSMUST00000196796.npk1_vfold.fixed.pdb,Vfold,0.74,0.791,9.551408,6.35,11.96,5.3,15.398550724637682,32.83,-90.54,-37526.7,-46710.71,-395.56
101,dataset3.NuFold.ENSMUST00000196796_rank_1.pdb,NuFold,0.68,0.567,6.8736706,6.32,12.75,4.96,10.238907849829351,32.2,39.07,-40078.4,-46207.66,-379.37
102,dataset1.SimRNA.ENSMUST00000196796.fixed.pdb,SimRNA,0.67,0.558,11.179517,6.86,16.66,4.19,40.76086956521739,34.98,424.54,-37231.9,-48740.76,-455.72
104,dataset3.RNAJP.ENSMUST00000196796.em_predicted_ENSMUST00000196796-1.fixed.pdb,RNAJP,0.68,0.688,9.162761,5.97,14.7,4.44,29.850746268656717,27.07,-69.34,-37650.0,-48352.17,-419.09
111,dataset3.DRfold.ENSMUST00000196796.DPR.fixed.pdb,DRfold,0.71,0.71,8.7513485,6.91,17.91,4.66,50.34013605442177,34.18,1720.42,-39347.4,-46810.4,-448.91
113,dataset3.trRosettaRNA.ENSMUST00000196796.model_1.fixed.pdb,trRosettaRNA,0.64,0.654,14.90671,7.5,18.69,6.6,18.115942028985508,25.33,24.05,-31873.7,-40041.34,-326.03
118,dataset3.DRfold2.ENSMUST00000196796.DPR.fixed.pdb,DRfold2,0.75,0.68,5.050338,6.39,16.88,5.2,14.492753623188406,32.58,100.37,-41576.2,-48545.18,-458.53
120,dataset3.RNAComposer.MUST00000196796.fixed.pdb,RNAComposer,0.7,0.935,14.349211,7.23,24.36,6.08,36.281179138321995,28.38,139.93,-27125.3,-42555.68,-425.24
122,dataset3.Rhofold.ENST00000408239.relaxed_1000.fixed.pdb,RhoFold,0.52,0.626,26.92934,8.23,61.33,6.32,10.475774770842428,41.26,495.14,-22585.4,-40677.06,-317.43
123,dataset3.RoseTTAFold2NA.ENST00000408239.model_00.fixed.pdb,RoseTTAFold2NA,0.66,0.421,12.521544,7.25,13.64,6.9,31.38622493461203,29.4,226.89,-35046.2,-39495.13,-298.96
125,dataset3.NuFold.ENST00000408239_rank_1.pdb,NuFold,0.67,0.373,8.711967,6.71,10.87,5.94,1.3149243918474687,32.02,210.35,-39541.1,-44623.63,-352.09
128,dataset1.DeepFoldRNA.ENST00000408239.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.64,0.353,1.9030817,6.44,8.75,4.02,16.9061707523246,25.06,-50.88,-43170.2,-40973.45,-293.42
130,dataset3.RNAComposer.ENST00000408239.fixed.pdb,RNAComposer,0.69,0.759,16.08425,6.89,21.25,6.1,35.35573985159319,28.31,93.69,-25984.6,-40628.59,-357.27
133,dataset1.SimRNA.ENST00000408239.fixed.pdb,SimRNA,0.56,0.398,10.72219,7.67,15.78,4.13,86.74803836094159,37.37,1060.35,-27768.5,-50435.15,-410.39
140,dataset3.DRfold.ENST00000408239.DPR.fixed.pdb,DRfold,0.62,0.351,10.94916,7.32,25.2,5.68,21.388040157136622,33.33,910.45,-30497.3,-35287.69,-186.68
141,dataset3.AF3.ENST00000408239.model_0.fixed.pdb,Alphafold3,0.74,0.515,1.4097533,5.95,7.79,3.62,28.90932982917214,33.19,29.48,-48624.9,-55481.86,-540.52
142,dataset3.trRosettaRNA.ENST00000408239.model_1.fixed.pdb,trRosettaRNA,0.56,0.353,19.361156,7.36,16.8,7.97,10.02615518744551,26.83,84.69,-30982.4,-34742.02,-295.16
143,dataset3.DRfold2.ENST00000408239.DPR.fixed.pdb,DRfold2,0.67,0.7,9.397347,6.86,18.42,4.9,22.667829119442022,35.12,357.06,-34517.7,-47829.49,-444.03
